id,author,updated_time,device,spent,stars,contents,ups,downs
24408754,不良 ℡╮夜空に,1619501273,,0,3,我并不想多说什么，只是感慨一下最近回归玩游戏的感受。首先，我觉得游戏的氛围是真的不行了，可能是低龄化的原因，总之比以前差多了，我拿一个我印象深刻的例子说一下我玩老夫子上单，开局我和中路在上路拿了俩头，中路也就很顺的开局了，后面他们在中下路开团，就因为凯抢不到人头从而有点微词。凯是打野，中路是高渐离，不说别的，开团高渐离拿到人头很正常，而你凯还不是后期，人头还想抢到多少，结果他就一直揪着不放，甚至到了后面还一直站在那送人头。所以我就叫队友一起举报，顺便也请对面帮一下，本来就想着能清理一下游戏害虫，结果对面却有：凯给他们送人头，为什么举报他。这种想法，还在不停挑衅。这让我很是失望，最后虽然是我赢了，但可以的话，我宁愿输了，只求不再遇到这种玩家。因为刚回流，钻石局排位，可能你们觉得有点以偏概全，只是因为碰到了小学生而已，但我却认为我初一的堂弟都能到王者，什么段位没有小学生？虽说钻石，星耀是受众最多的段位，但我最近玩了不说也有十几二十把了，但是，我很失望。,0,0
24408738,天宇,1619501208,,33925,4,如今不同以往那么热爱了,0,0
24408721,热气球,1619501149,华为 nova 7 Pro 5G,114802,1,法强百里守约举报不成功，王者客服棒棒,0,0
24408572,不想补尾款的念,1619500519,Smartisan OS103,62314,4,咋说也玩了一年多啦，来吐槽吐槽最高也就王者三十多星&hellip;&hellip;巅峰一千五（我知道我很菜）当时身边朋友都在打王者，我一个玩第五人格的也不好不合群，为了方便与朋友聊共同话题，下载了一个。现在第五人格淡游了，迷上了王者。第一点，他那个屏蔽词真的很厉害的，前一段时间不是什么数字1也被屏蔽了嘛，平常和队友正常交流也会被屏蔽啥的，搞得我挺尴尬的。第二点，我真的挺希望王者在玩家隐身时顺便把对外的战绩关了，有次我一个人玩的时候朋友忽然给我发了个你咋开隐身在线，不是一般的尴尬好叭（扶额）第三点，有些时候那匹配机制真就好像有那个大病！（说过了说过了）我王者十五星给我排到快荣耀的，可气到我了，对面直接乱杀我，我风暴哭泣好吧，直接删了游戏（第二天骂骂咧咧下回来）第四点，那个举报机制啊，我希望可以再准确点，有些时候真的碰到憨批的队友王者可以分得清什么叫正确游戏什么叫演员，十次举报能有五次举报不成功（猛男哭泣）当然啦，毕竟这游戏陪伴我挺久的，我几乎每天都会上线，游戏玩法 皮肤 还有很多很多的地方我都挺满意的。打四星是真的很喜欢这个游戏，少的一星就少在上面那几点吧，其他也有挺多吐槽的，但基本上都是些小事情，不妨碍我啥的，蛮棒的啦,2,0
24408571,颜子-薄荷-旺财,1619500517,华为Nova 3,80339,5,王者荣耀我玩了十几个赛季了，着迷的不行，每天不是在和舍友开黑，就是在和舍友开黑的路上，五星大顶,0,0
24408406,,1619499891,小米 Redmi 9,39105,1,哎，不好玩啊,0,0
24408230,安安稳稳,1619499097,小米M2007J17C,77140,1,匹配机制太***，没脑子玩什么游戏，纳闷了，咋上的分呢,0,0
24408134,失踪人口,1619498670,,71329,5,开心就好,0,0
24408036,江湖小虾米,1619498233,华为 nova 7 Pro 5G,0,1,支持多元创新，抵制抄袭垄断,2,0
23508055,舟遥,1619496815,华为 荣耀Play 4T Pro,13191,3,不好玩了，环境差，皮肤丑,2,0
